ID,Name,HOF,FY,LY,SP,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP
aaronha01,"Aaron, Hank",Y,1954,1976,23,OF,0.91,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,722,1642,305,555,374
adairje01,"Adair, Jerry",N,1958,1970,13,2B,0,1165,4019,378,1022,163,19,57,366,29,29,208,499,31,17,41,30,149,182,237,254,347,292
adcocjo01,"Adcock, Joe",N,1950,1966,17,1B,0.06,1959,6606,823,1832,295,35,336,1122,20,25,594,1059,55,17,52,35,223,330,614,277,485,337
ageeto01,"Agee, Tommie",N,1962,1973,12,OF,0.17,1129,3912,558,999,170,27,130,433,167,81,342,918,26,34,21,15,99,197,509,255,412,320
aguaylu01,"Aguayo, Luis",N,1980,1989,10,SS,0,568,1104,142,260,43,10,37,109,7,5,94,220,12,20,14,12,27,53,101,236,393,304
aldremi01,"Aldrete, Mike",N,1986,1996,10,OF,0,930,2147,277,565,104,9,41,271,19,18,314,381,29,5,14,18,43,113,333,263,377,356
alexama02,"Alexander, Manny",N,1992,2006,11,SS,0,594,1271,166,293,50,12,15,115,37,10,86,276,7,7,19,4,17,62,123,231,324,282
alfoned01,"Alfonzo, Edgardo",N,1995,2006,12,3B,0.08,1506,5385,777,1532,282,18,146,744,53,17,596,617,22,41,31,55,110,300,649,284,425,357
alicelu01,"Alicea, Luis",N,1988,2002,13,2B,0,1341,3971,551,1031,189,53,47,422,81,50,500,624,25,48,49,45,74,242,581,260,369,346
allenbe01,"Allen, Bernie",N,1962,1973,12,2B,0,1139,3404,357,815,140,21,73,351,13,16,370,424,52,8,24,17,60,161,383,239,357,314
allendi01,"Allen, Dick",N,1963,1977,15,1B,0.47,1749,6332,1099,1848,320,79,351,1119,133,52,894,1556,138,16,19,53,164,399,1027,292,534,378
